Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,Xavier Cedeno,CHC,2,13,0,4,2,0,0,0,0,3,1,0,1,0.4,0.538461538,0.6,0.462762276,36
2019,CC Sabathia,NYY,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,404
2019,Fernando Rodney,2 Tms,47.2,210,5.6643,49,8,0,31,30,5,28,1,0,49,0.269230769,0.366666666,0.395604395,0.331937829,494
2019,Tommy Hunter,PHI,5.1,18,0,2,0,0,0,0,0,0,0,0,5,0.111111111,0.111111111,0.111111111,0.096623341,1157
2019,Adam Ottavino,NYY,66.1,283,1.8995,47,9,1,17,14,5,40,3,2,88,0.198312236,0.315602836,0.308016877,0.275927123,1247
2019,Jon Edwards,CLE,8,36,2.25,5,2,0,2,2,2,6,0,2,5,0.178571428,0.361111111,0.464285714,0.354506572,1483
2019,Oliver Perez,CLE,40.2,173,3.9836,38,14,0,20,18,5,12,2,3,48,0.242038216,0.306358381,0.426751592,0.305931089,1514
2019,Sean Doolittle,WSN,60,260,4.05,63,10,3,27,27,11,15,2,2,66,0.260330578,0.308880308,0.462809917,0.320683579,1581
2019,Edwin Jackson,2 Tms,12.1,59,8.7567,18,3,0,12,12,6,8,0,0,7,0.352941176,0.440677966,0.764705882,0.48535721,1841
2019,Clayton Kershaw,LAD,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2036
2019,Hector Rondon,HOU,60,248,2.85,51,12,0,19,19,10,19,0,3,47,0.227678571,0.295546558,0.415178571,0.301568175,2391
2019,Jhoulys Chacin,BOS,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0.17257455,2608
2019,Ross Detwiler,CHW,12.2,61,9.9473,21,2,0,15,14,5,5,0,0,8,0.375,0.426229508,0.678571428,0.45503331,2859
2019,Luis Avilan,NYM,32,141,5.0625,33,5,0,18,18,5,14,0,3,30,0.266129032,0.354609929,0.427419354,0.337616034,2882
2019,Kenley Jansen,LAD,63,263,3.7143,51,12,1,28,26,9,16,0,4,80,0.2125,0.269961977,0.383333333,0.276521465,3096
2019,Tony Watson,SFG,54,231,4.1667,56,6,2,26,25,9,12,1,5,41,0.264150943,0.318777292,0.438679245,0.319815778,3132
2019,Tim Collins,CHC,8.2,38,3.1154,9,3,0,3,3,1,3,0,0,4,0.264705882,0.315789473,0.44117647,0.316012499,3164
2019,Will Harris,HOU,60,229,1.5,42,3,0,14,10,6,14,0,0,62,0.196261682,0.245614035,0.294392523,0.235300466,3192
2019,Francisco Liriano,PIT,70,301,3.4714,60,15,0,32,27,8,35,1,3,63,0.231660231,0.327759197,0.382239382,0.307280608,3201
2019,T.J. McFarland,ARI,56,250,4.8214,71,13,2,35,30,6,20,5,1,35,0.315555555,0.370967741,0.471111111,0.35006617,3237
2019,Zack Britton,NYY,61.1,245,1.9076,38,6,0,13,13,3,32,1,1,53,0.181818181,0.290983606,0.253588516,0.248789093,3240
2019,Joe Smith,HOU,25,96,1.8,19,4,0,6,5,2,5,0,0,22,0.208791208,0.25,0.318681318,0.244814074,3281
2019,Hector Noesi,MIA,9.1,37,2.8929,10,0,2,3,3,1,2,0,0,9,0.285714285,0.324324324,0.485714285,0.336903543,3292
2019,Charlie Culberson,ATL,2,10,0,2,1,0,0,0,0,2,0,0,1,0.25,0.4,0.375,0.346687186,3298
2019,Darren O'Day,ATL,5.1,21,1.6875,3,3,0,1,1,0,1,0,1,6,0.157894736,0.238095238,0.315789473,0.240929229,3321
2019,Jeff Mathis,TEX,2,9,9,3,0,0,2,2,1,0,0,0,1,0.333333333,0.333333333,0.666666666,0.408750441,3448
2019,Liam Hendriks,OAK,83,322,1.6265,58,16,1,16,15,5,19,5,2,122,0.195945945,0.246875,0.307432432,0.232069545,3548
2019,Tony Barnette,CHC,1.1,5,6.7502,2,0,0,1,1,1,0,0,0,0,0.4,0.4,1,0.56182878,3555
2019,Brian Schlitter,OAK,9.2,41,3.7241,12,3,0,4,4,0,4,0,0,6,0.324324324,0.390243902,0.405405405,0.347260478,3599
2019,Zach Duke,CIN,23.1,106,5.0143,21,5,0,13,13,4,18,1,2,18,0.25,0.39047619,0.452380952,0.360098956,3840
2019,Matt Magill,2 Tms,50.2,229,4.0855,51,15,1,31,23,7,20,3,2,64,0.251231527,0.321585903,0.438423645,0.316421085,3950
2019,David Carpenter,TEX,3.1,19,5.4001,4,2,0,4,2,0,4,0,0,2,0.266666666,0.421052631,0.4,0.36493388,3959
2019,Edinson Volquez,TEX,6.2,23,0,4,0,0,0,0,0,2,0,0,4,0.19047619,0.260869565,0.19047619,0.211262465,3990
2019,Allen Webster,CHC,11,52,4.9091,14,3,0,7,6,2,5,2,1,9,0.304347826,0.384615384,0.5,0.36291337,3993
2019,Yusmeiro Petit,OAK,83,308,2.7108,57,10,3,25,25,11,10,0,0,71,0.193877551,0.218241042,0.360544217,0.240028293,4020
2019,Hector Santiago,2 Tms,24.1,119,7.0274,31,10,0,19,19,6,17,0,0,31,0.303921568,0.403361344,0.578431372,0.408261154,4026
