Name,Year,PlatoonScore
AJ Ramos,2012,0.016825603
Aaron Crow,2012,0.077238426
Aaron Laffey,2012,0.002974489
Aaron Loup,2012,0.121183606
Adam Ottavino,2012,-0.009729502
Addison Reed,2012,-0.032157554
Al Alburquerque,2012,0.200998338
Alberto Cabrera,2012,-0.016558651
Alex Burnett,2012,0.026954722
Alex Hinshaw,2012,-0.150540286
Alex White,2012,-0.316603543
Alexi Ogando,2012,0.056031593
Alfredo Aceves,2012,-0.049292725
Alfredo Simon,2012,-0.03986141
Andrew Bailey,2012,-0.173265123
Andrew Carignan,2012,-0.078563836
Andrew Carpenter,2012,-0.173888312
Andrew Cashner,2012,0.008106983
Andrew Miller,2012,0.093292322
Andrew Taylor,2012,-0.135986733
Anthony Bass,2012,0.173951717
Anthony Swarzak,2012,0.010848078
Anthony Varvaro,2012,-0.080817799
Antonio Bastardo,2012,0.018382179
Aroldis Chapman,2012,0.240632692
B.J. Rosenberg,2012,-0.055188022
Barret Browning,2012,-0.020053046
Barry Enright,2012,-0.150665423
Bill Bray,2012,-0.215164473
Blake Parker,2012,-0.37809522
Bobby Cassevah,2012,-0.309768831
Bobby Korecky,2012,-0.989062235
Bobby Parnell,2012,0.047952754
Boone Logan,2012,-0.033343598
Brad Bergesen,2012,-0.01809218
Brad Boxberger,2012,-0.046380687
Brad Brach,2012,0.032055716
Brad Lidge,2012,-0.269635866
Brad Lincoln,2012,0.051305249
Brad Penny,2012,-0.177172366
Brad Ziegler,2012,0.115608183
Brandon Dickson,2012,-0.245974185
Brandon Gomes,2012,-0.059220889
Brandon Kintzler,2012,-0.030452062
Brandon League,2012,0.039801356
Brandon Lyon,2012,0.034752632
Brayan Villarreal,2012,0.081965257
Brett Cecil,2012,-0.104975473
Brett Myers,2012,-0.012610532
Brian Bogusevic,2012,-0.838877059
Brian Bruney,2012,-0.125526594
Brian Duensing,2012,0.068502445
Brian Fuentes,2012,-0.18001439
Brian Matusz,2012,0.252581971
Brian Omogrosso,2012,-0.041958912
Brian Sanches,2012,-0.503276744
Brian Wilson,2012,-0.332054695
Bryan Morris,2012,0.232539763
Bryan Shaw,2012,-0.05844671
Burke Badenhop,2012,0.038944863
Carlos Marmol,2012,-0.008832877
Carlos Torres,2012,-0.025240879
Carlos Villanueva,2012,-0.032537595
Carlos Zambrano,2012,-0.049113207
Carter Capps,2012,-0.002667897
Casey Coleman,2012,-0.245244928
Casey Fien,2012,0.137985235
Casey Janssen,2012,0.146949204
Cesar Ramos,2012,0.111937822
Chad Beck,2012,-0.163034083
Chad Durbin,2012,-0.002894007
Chad Gaudin,2012,-0.053841949
Chad Jenkins,2012,-0.046883635
Chad Qualls,2012,-0.083741081
Charlie Furbush,2012,0.135890571
Chien-Ming Wang,2012,-0.216630956
Chris Archer,2012,-0.068145277
Chris Carpenter,2012,-0.450434303
Chris Davis,2012,-0.103519989
Chris Hatcher,2012,-0.184844794
Chris Leroux,2012,0.016360627
Chris Perez,2012,0.084315081
Chris Resop,2012,-0.005942348
Chris Sale,2012,0.136085645
Chris Schwinden,2012,-0.249733415
Chris Seddon,2012,0.066904143
Christian Garcia,2012,0.082271676
Chuckie Fick,2012,-0.16742371
Clay Hensley,2012,-0.046210191
Clay Rapada,2012,0.096808972
Clayton Mortensen,2012,0.01598368
Cody Allen,2012,-0.032184819
